#Table1
z,ra,dec
1.040195,172.01778,-0.51160416
2.145864,172.04802,-0.64946282
0.4593377,171.97301,0.088329896
1.456481,171.8106,-0.055550162
1.997601,171.78267,-0.23467881
0.04266122,171.98972,-1.2111543
0.3216116,171.82383,-0.79520069
1.91038,171.27814,-0.13336481
0.2229477,175.70065,-1.1823597
1.393958,175.40474,-0.45828574
1.723314,175.50518,-0.74504022
0.504432,175.32347,-0.21400432
1.603502,174.89431,-0.98378904
0.3471135,175.01814,-1.090952
0.1321981,179.94472,-1.0807244
1.987512,180.42602,-0.27775702
0.6380098,184.78254,-0.93589623
0.7526582,184.74888,-1.0289188
1.410538,185.15421,-0.67565786
1.386362,184.9146,-0.31712815
1.338141,184.92691,-0.30593417
1.516544,184.68298,-0.37578284
0.8290121,184.6623,-0.20482865
0.1531438,184.61024,-0.86699715
0.2573984,184.66239,-1.0262047
1.295429,184.43903,-0.86503668
1.428257,184.44919,-0.885649
1.611387,184.25627,-0.49955023
0.7574197,183.91874,-0.57602092
1.250856,184.14736,-0.44895174
0.5838438,147.23886,0.37375648
1.287415,148.70752,-0.73061966
1.301314,148.42886,-0.86325794
1.385627,148.41438,-0.72075858
0.5121477,149.10806,-0.064752321
0.3584977,153.58085,-0.47619202
0.2005561,153.32174,-1.1823067
0.275728,153.31193,-0.87598273
1.459537,159.01339,0.79237063
0.6539512,159.10711,0.6914869
2.223756,159.04555,0.54139815
1.135599,159.26938,0.25958258
0.5739197,160.54542,-1.0855791
0.2794001,161.05551,-0.056865107
0.5592167,161.13241,-0.18850828
0.2862444,160.52563,-0.65487256
0.1353177,160.27971,-1.1793853
0.302805,160.38658,-0.84929597
0.4966277,160.34518,-0.93846041
2.960663,160.72268,-0.21689202
1.969103,160.6797,-0.28498294
2.636886,160.58451,-0.14771314
1.299303,166.25111,0.65921866
1.004675,166.18019,0.38198155
0.975465,166.40026,0.29031395
1.538483,166.52718,0.53678616
1.661086,166.51423,0.36886002
0.946943,166.43103,0.11506264
1.512699,168.08366,-0.8581607
1.821192,168.1072,-0.85045357
1.098436,167.9696,-0.81083392
0.4454244,168.47499,-0.038276778
0.09042711,167.75253,-0.89300905
0.2572901,167.59329,-0.9290365
0.1275907,167.7786,-1.2317073
1.941778,167.66753,-0.88182298
2.138333,168.2545,-0.56137847
0.3199581,171.51523,0.55225609
0.6246737,171.38093,1.0285867
0.5492861,171.65399,0.58210536
0.7120696,171.55464,0.79357816
2.015256,173.10503,-0.49112105
0.9613904,173.06944,-0.11445075
1.251659,173.2011,0.032136079
1.696456,172.39831,-0.89223911
1.380361,172.77768,0.093898948
1.180429,172.11894,-0.84954199
1.36804,172.15966,-0.96950293
0.5179471,175.94631,-0.913528
1.316777,175.85403,-0.6040529
1.919894,175.79681,-0.35917868
0.8031608,175.84068,-0.49486114
0.1714634,175.89735,-0.49510603
1.009626,175.54364,-0.33693846
1.919208,175.54832,-0.89562786
0.7212632,180.83794,-0.6223902
2.013801,184.51366,0.21026545
2.057552,186.19852,-0.12015658
0.1570676,186.13501,-0.45871142
1.522593,185.53436,-0.6123968
1.277458,185.72435,-0.56278468
1.749477,185.43595,-0.19496584
0.1183385,185.05246,-1.0920518
1.061787,185.29256,-0.20145253
0.2119447,185.13737,-0.24277871
1.576974,184.91821,-1.0020819
1.772007,146.76383,0.041421411
0.2712803,145.89838,-0.72280608
0.5176755,145.92005,-0.78353938
0.367843,145.93986,-0.79011435
1.998794,146.64496,0.93743071
0.2980519,146.6342,1.1572622
0.8608898,146.82659,1.0099402
1.636068,151.13167,-0.82198079
0.187017,151.60892,-0.58778081
0.4702402,151.37488,-0.69795861
0.6926668,151.32088,0.98498232
0.9466721,151.31152,0.8948027
0.772505,151.62429,0.67989723
1.680108,151.81473,0.71621817
1.285359,155.68218,-1.2173574
1.662086,155.62867,-0.96648913
1.756817,155.7423,-0.68114682
0.3062554,155.74446,-0.26065317
1.050867,155.50311,-1.0697767
1.499948,155.39934,-1.1185616
2.064401,155.34141,-0.57844181
1.004103,155.45949,-0.64775094
